input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,decimal,divide_by_4,divide_by_6,divide_by_9
0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,94919,0,0,0
1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,730717,0,0,0
1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,828854,0,0,0
0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,413515,0,0,0
0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,386838,0,1,1
0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,25948,1,0,0
0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,368385,0,0,0
0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,489471,0,0,0
0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,348649,0,0,0
1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,555690,0,1,0
0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,162659,0,0,0
1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,866953,0,0,0
0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,477142,0,0,0
0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,273928,1,0,0
1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,604088,1,0,0
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,534798,0,1,1
1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,923407,0,0,0
1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,637629,0,0,0
1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,793730,0,0,0
1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,668146,0,0,0
1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,993524,1,0,0
0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,166644,1,1,1
1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1036218,0,1,0
1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1033458,0,1,0
0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,324506,0,0,0
0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,448782,0,1,0
0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,145799,0,0,0
1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,838691,0,0,0
0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,127793,0,0,0
1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,939452,1,0,0
0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,474147,0,0,1
0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,249001,0,0,0
0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,62914,0,0,0
1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,841558,0,0,0
1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,540405,0,0,1
0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,445380,1,1,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,305198,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,3914,0,0,0
0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,451021,0,0,0
0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,166401,0,0,1
0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,42662,0,0,0
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,140858,0,0,0
1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,579563,0,0,0
0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,455396,1,0,0
1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,987094,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,950297,0,0,0
0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,107171,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1016505,0,0,1
1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,789960,1,1,0
1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,942131,0,0,0
0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,327198,0,1,0
1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,886037,0,0,0
1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,980678,0,0,0
0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,79016,1,0,0
0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,361684,1,0,0
1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,597323,0,0,0
0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,76502,0,0,0
0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,407217,0,0,0
0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,293593,0,0,0
0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,323528,1,0,0
0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,30143,0,0,0
0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,387144,1,1,1
1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,765558,0,1,1
0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,109119,0,0,0
0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,146429,0,0,0
0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,198065,0,0,0
0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,105653,0,0,0
1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,798786,0,1,1
1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,825230,0,0,0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,481298,0,0,0
0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,388796,1,0,0
0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,351218,0,0,0
1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,702262,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,230131,0,0,0
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,564608,1,0,0
1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,745928,1,0,0
0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,26326,0,0,0
0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,349387,0,0,0
1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,702656,1,0,0
0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,389881,0,0,0
0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,444074,0,0,0
1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,802283,0,0,0
0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,431932,1,0,0
0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,507384,1,1,1
1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,585338,0,0,0
1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,827916,1,1,0
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,824801,0,0,0
0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,508959,0,0,1
0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,382511,0,0,0
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,859889,0,0,0
1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,604710,0,1,1
1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,688358,0,0,0
0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,237436,1,0,0
0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,253040,1,0,0
0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,183303,0,0,1
0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,27554,0,0,0
1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,930344,1,0,0
0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,138200,1,0,0
1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,966176,1,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,49779,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,99565,0,0,0
1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,814035,0,0,0
0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,188721,0,0,1
0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,484438,0,0,0
0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,203307,0,0,0
0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,253864,1,0,0
1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,840878,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,299129,0,0,0
1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,589371,0,0,0
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,800783,0,0,0
1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,632690,0,0,0
0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,392237,0,0,0
0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,330118,0,0,0
1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,828822,0,1,0
1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,996568,1,0,0
0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,180039,0,0,0
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1021743,0,0,1
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,328517,0,0,0
1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,845529,0,0,0
1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,609173,0,0,0
0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,43232,1,0,0
1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,536099,0,0,0
1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,553121,0,0,0
1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,899059,0,0,0
1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,529359,0,0,0
1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,847045,0,0,0
1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,857295,0,0,1
0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,31003,0,0,0
0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,391979,0,0,0
1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,621771,0,0,0
1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,973058,0,0,0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,594729,0,0,1
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,159925,0,0,0
1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,578198,0,0,0
1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,750070,0,0,0
1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,645875,0,0,0
0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,437665,0,0,0
0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,107281,0,0,0
1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,758202,0,1,0
0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,382055,0,0,0
0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,313557,0,0,0
1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,566217,0,0,1
1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,838638,0,1,1
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,263697,0,0,0
0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,429746,0,0,0
0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,382058,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,24790,0,0,0
1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,652687,0,0,0
1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,838435,0,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,67843,0,0,0
1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,793956,1,1,0
1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,818584,1,0,0
1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,834478,0,0,0
0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,420602,0,0,0
1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,772749,0,0,1
0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,338399,0,0,0
1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,587566,0,0,0
1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,709239,0,0,0
1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,901290,0,1,0
0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,523024,1,0,0
0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,424583,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,296420,1,0,0
1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,789885,0,0,1
1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,858188,1,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,399426,0,1,0
1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,761043,0,0,0
1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1023683,0,0,0
1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,668478,0,1,0
1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,905811,0,0,0
1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,609681,0,0,0
1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,607681,0,0,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,389729,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,408702,0,1,0
0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,56106,0,1,1
0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,356037,0,0,0
1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,814675,0,0,0
1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,766318,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,389892,1,1,0
0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,43403,0,0,0
1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,941781,0,0,0
0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,172018,0,0,0
0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,86730,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,139691,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,987373,0,0,0
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,20745,0,0,1
0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,327348,1,1,1
0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,198778,0,0,0
0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,240080,1,0,0
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,200923,0,0,0
0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,32622,0,1,0
0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,175624,1,0,0
1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,830847,0,0,0
0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,423065,0,0,0
0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,154430,0,0,0
1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,707269,0,0,0
0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,513028,1,0,0
1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,578429,0,0,0
0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,457967,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,561353,0,0,0
1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,810958,0,0,0
1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1008914,0,0,0
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,269322,0,1,0
1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,577850,0,0,0
1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,868069,0,0,0
1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1010202,0,1,0
1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,722012,1,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,184379,0,0,0
0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,162055,0,0,0
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,391633,0,0,0
1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,868065,0,0,0
0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,431864,1,0,0
1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,819568,1,0,0
1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,853973,0,0,0
0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,59818,0,0,0
1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,886574,0,0,0
1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,744582,0,1,0
0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,454878,0,1,1
0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,394831,0,0,0
1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,835578,0,1,1
0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,190615,0,0,0
0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,162373,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,820286,0,0,0
0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,269427,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1028298,0,1,0
0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,152515,0,0,0
0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,189826,0,0,0
1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,823807,0,0,0
1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,972059,0,0,0
0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,517275,0,0,1
0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,101712,1,1,0
0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,410753,0,0,0
1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,966770,0,0,0
0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,379046,0,0,0
1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1003952,1,0,0
